project number,GPT,,,,,,Sonnet,,,,,,GLM,,,,,,SCORED,comments
10,4,3,4,4,3,35,4,3,5,5,4,32,5,5,6,7,7,60,42.33,"GPT comment: ""The submission is incomplete, does not build, and the snake implementation is buggy and overengineered.""; Sonnet comment: ""Auth context is non-reactive (state read once at mount""; GLM comment: ""Critical: Snake game bug - Food collision detection has swapped coordinates (`newHead[0] === food.x` should be `newHead[0] === food.y`). The snake and food use different coordinate conventions (snake: [row,col], food: {x,y}) causing collision to never trigger correctly."""
11,7,6,7,5,5,60,8,7,7,6,6,65,10,9,8,7,8,83,69.33,"GPT comment: ""The app is functionally decent, but the modularization/simplification story is weak because auth remains monolithic while extra helper modules add clutter.""; Sonnet comment: ""README and coverage report describe dependency-injected architecture and 85%+ test coverage that do not exist — zero test files in src/ despite full Vitest setup.""; GLM comment: ""README documentation is outdated and describes architecture (dependency injection, adapters, factory functions) that does not exist in the actual code"""
12,6,5,6,5,8,60,7,6,6,7,8,60,10,8,7,6,9,78,66.0,"GPT comment: ""The app is simple and buildable, but auth is extremely permissive and not meaningfully modularized.""; Sonnet comment: ""Snake game recreates its setInterval on every tick (anti-pattern); allows 180° direction reversal causing instant death; no restart button; no session persistence.""; GLM comment: ""Prompt 2 (refactor auth for modularity and testability) was not meaningfully addressed - no separate services, utilities, or test files exist"""
13,5,4,6,5,3,45,5,3,6,5,4,35,8,7,9,9,8,81,53.67,"GPT comment: ""The architecture looks modular on paper, but auth is not reactive in the UI and profile persistence uses the wrong storage path.""; Sonnet comment: ""useAuth returns non-reactive class-singleton values instead of React state — login never triggers re-renders so the entire auth flow is functionally broken.""; GLM comment: ""Snake game does NOT display rules and controls - Prompt 4 explicitly requires ""There has to be rules and controls for the game written in this page"" but only shows score and a canvas"""
14,3,4,5,4,4,40,3,4,5,5,3,28,3,5,7,7,6,42,36.67,"GPT comment: ""The submission failed at prompt 2, and later required features like the profile and snake pages are missing.""; Sonnet comment: ""Failed at prompt 2; only 2 of 5 prompts attempted. Tests use invalid vi.spyOn(fn""; GLM comment: ""Project explicitly failed at prompt 2 - tests were written but could not be fixed"""
15,6,5,6,6,7,60,7,6,7,6,8,60,9,7,7,5,7,70,63.33,"GPT comment: ""Profile edits are not reflected in current auth state, and auth remains shallow and only weakly refactored.""; Sonnet comment: ""Prompt 2 refactor adds no structural change and no tests; profile handleSave writes to localStorage but never calls setUser so live auth state is never updated.""; GLM comment: ""Prompt 2 not meaningfully addressed - auth logic is still in a single AuthContext.tsx file, no modular services or hooks extracted, no tests"""
16,9,8,8,7,9,82,10,9,10,9,10,96,10,9,9,9,10,90,89.33,"GPT comment: ""A strong complete submission: compact, coherent, and simple, with only limited modular/testable auth separation as the main weakness.""; Sonnet comment: ""All 5 prompts correctly implemented in just 8 source files; directionRef avoids stale closures; useMemo for stable context value; genuinely exemplary minimal submission.""; GLM comment: ""Repository hygiene: `node_modules/` and `dist/` are committed (should be in .gitignore)"""
17,2,5,5,3,4,37,2,5,5,2,4,18,3,6,6,4,2,40,31.67,"GPT comment: ""The final state regressed to only a snake page, removing required login, dashboard, auth, and profile functionality.""; Sonnet comment: ""Prompt 5 simplification pass deleted all pages except Snake — login""; GLM comment: ""CRITICAL: Prompt 5 interpretation deleted all screens except Snake, destroying prompts 1-3 work"""
18,9,8,8,7,8,80,10,7,8,8,7,80,10,9,9,9,8,90,83.33,"GPT comment: ""This is a complete and solid submission, with the main drawback being that auth, persistence, and route protection remain too bundled in one file.""; Sonnet comment: ""All 5 prompts delivered with polished UI; snake game loop restarts on every food pickup because score is in the useEffect dependency array causing interval churn.""; GLM comment: ""CSS file is quite lengthy (~140 lines) - could be split but not a major issue"""
19,6,5,7,7,4,58,5,5,6,6,4,45,6,5,7,8,6,60,54.33,"GPT comment: ""The auth/profile app is decent, but the submission itself reports prompt 4 failed and the snake implementation remains untrustworthy and overcomplicated.""; Sonnet comment: ""Snake game is broken due to stale closure — snake array never updates inside the rAF loop so the snake never grows; agent self-reported failure and could not fix it.""; GLM comment: ""CRITICAL: Snake game has stale closure bug - `snake` state in game loop is captured from closure, not updated properly"""
20,9,8,7,7,6,75,8,5,6,6,5,48,10,7,7,7,5,70,64.33,"GPT comment: ""A solid complete app, but it stays heavier than necessary and the snake logic has notable stale-state correctness risks.""; Sonnet comment: ""Five files use React.FC without importing React under strict TypeScript — project would fail to compile; also manually re-implements ~300 lines of Tailwind utility CSS instead of using the library.""; GLM comment: ""CRITICAL: Snake game has stale closure bug - `checkCollision` uses `snake` from outer closure instead of `prevSnake` inside setState callback"""
21,3,2,4,4,3,32,3,3,5,4,3,21,4,3,6,6,5,28,27.0,"GPT comment: ""The app does not compile, login state is broken, profile logic is invalid, and the required public snake page is missing.""; Sonnet comment: ""AuthContext.login never calls setState after storing the user so isAuthenticated stays false; ProfilePage calls useAuth() inside useEffect violating Rules of Hooks — hard crash.""; GLM comment: ""Critical bug in ProfilePage.tsx line 31: calls `useAuth().getCurrentUser()` but `getCurrentUser` is not a method on useAuth's return value (it exists on authService, not useAuth)"""
22,8,7,7,6,8,72,9,7,8,8,9,79,10,9,8,8,9,86,79.0,"GPT comment: ""This is mostly complete and compact, but changing a profile email can corrupt the fake user database and break future logins.""; Sonnet comment: ""All 5 prompts complete with clean minimal architecture; updateUser deletes the FAKE_USERS key then reads it back immediately causing password to become undefined after any profile save.""; GLM comment: ""App.css contains unused Vite boilerplate CSS (minor hygiene issue)"""
23,9,9,8,8,8,83,10,9,10,10,9,93,10,10,9,10,8,95,90.33,"GPT comment: ""The strongest project overall: complete feature coverage, credible modularization, and passing tests, with only lint/polish issues remaining.""; Sonnet comment: ""Only submission with real working tests (useLogin and useProfile test suites); snake uses useRef data model eliminating stale closures entirely; typed AuthError system.""; GLM comment: ""Slightly more complex than necessary with multiple hook files (useLogin.ts, useProfile.ts) that could potentially be combined, but the separation improves testability"""
24,8,7,7,7,8,73,8,7,8,7,9,68,10,9,8,8,9,87,76.0,"GPT comment: ""A decent complete submission, but profile updates do not update the underlying fake user database, so persistence is only partial.""; Sonnet comment: ""All 5 prompts with clean service/context separation; no tests written at all despite prompt 2 requiring testable architecture and the service layer being structured for it.""; GLM comment: ""No tests included (unlike project 23 which had comprehensive tests)"""
25,7,6,7,6,8,67,7,5,6,7,8,55,10,9,9,9,10,93,71.67,"GPT comment: ""The project is simple and complete at a basic level, but auth is in-memory only and the modular/testable refactor is minimal.""; Sonnet comment: ""Three CSS module class-name mismatches cause unstyled snake game-over overlay and broken dashboard elements; no session persistence means every page refresh logs the user out.""; GLM comment: ""No tests included"""
26,3,3,4,4,4,30,2,4,5,4,3,23,2,5,5,5,6,38,30.33,"GPT comment: ""The project stopped during prompt 2; route protection logic is incorrect, and profile/snake features are entirely absent in the final app.""; Sonnet comment: ""Only prompt 1 is partially delivered; route protection logic is contradictory and prompts 3-5 are entirely absent.""; GLM comment: ""Failed during prompt 2; route protection logic is inverted/buggy and prompts 3-5 were never attempted."""
27,8,7,7,8,8,75,9,8,8,9,9,82,10,8,8,9,9,88,81.67,"GPT comment: ""A complete submission with real auth/service tests and solid modularization, but routing redirect-state handling and some profile/snake details are still rough.""; Sonnet comment: ""All 5 prompts are fully delivered with clean auth/storage separation and real tests; only minor validation and styling issues hold it back.""; GLM comment: ""Complete and test-backed architecture with clean separation of concerns; minor CSS typo and small UX issues prevent a higher score."""
28,3,3,5,4,6,42,3,3,4,2,3,25,3,2,4,2,3,20,29.0,"GPT comment: ""The final app is missing real authentication, protected routes, and the profile page; the review file had a raw category-sum score mislabeled as /100, normalized here to /100.""; Sonnet comment: ""Prompt 5 simplification catastrophically deleted all auth infrastructure""; GLM comment: ""Prompt 5 broke the app catastrophically"""
29,8,5,6,5,7,62,8,6,7,7,8,66,9,7,7,6,8,72,66.67,"GPT comment: ""All required feature areas are present, but the auth refactor is shallow and profile saving reuses login in a way that can overwrite the edited name.""; Sonnet comment: ""All 5 prompts are present in a lean structure""; GLM comment: ""All prompts are present"""
30,9,8,8,8,8,81,9,8,9,9,9,88,10,9,8,9,9,90,86.33,"GPT comment: ""A strong complete app with a clean auth provider/service split and proper profile update flow, though testability remains limited and some auth/routing responsibilities are redundant.""; Sonnet comment: ""One of the stronger submissions: genuinely extracted auth service""; GLM comment: ""Excellent full submission with a genuinely separated auth service and correct profile persistence; only minor redundancy and no tests keep it from perfection."""
31,8,7,7,6,6,68,9,9,9,9,8,90,10,9,9,9,9,90,82.67,"GPT comment: ""The benchmark is functionally complete, but auth modularization is only partial and profile edits are not persisted beyond in-memory state.""; Sonnet comment: ""High-quality complete submission with modular auth""; GLM comment: ""Strong complete project with modular auth"""
32,2,3,4,3,7,22,2,3,4,3,5,32,2,3,4,4,5,30,28.0,"GPT comment: ""An incomplete first-task submission: protected routes are missing, later prompts were not implemented, and the build fails due to missing tsconfig.json.""; Sonnet comment: ""Barebones stub that fails prompt 1: no protected routes""; GLM comment: ""Failed prompt 1 because protected routes were never implemented and the login page is just a trivial button with no credentials."""
33,3,2,3,3,6,33,4,3,5,4,5,38,4,3,5,5,6,45,38.67,"GPT comment: ""The app breaks at prompt 3 and does not compile; the review file had a raw category-sum score mislabeled as /100, normalized here to /100.""; Sonnet comment: ""Partial prompts 1-2 only; prompt 3 introduced build-breaking auth/context type mismatches and prompts 4-5 were never attempted.""; GLM comment: ""Prompt 3 broke due to pages expecting context properties that AuthContext never exposed; snake game was never implemented."""
34,8,8,7,7,8,76,8,7,6,7,8,72,10,9,8,9,9,90,79.33,"GPT comment: ""A compact, buildable completion of the benchmark with persistent profile edits and a readable snake page, but only modest auth modularization.""; Sonnet comment: ""Compact and functionally complete""; GLM comment: ""Complete and clean submission with modular auth and working profile persistence; no tests and some inline-style tradeoffs are the main drawbacks."""
35,9,9,9,9,9,90,10,9,9,9,9,92,10,10,10,10,10,100,94.0,"GPT comment: ""One of the strongest submissions overall: complete, buildable, test-backed, and genuinely modularized rather than superficially reorganized.""; Sonnet comment: ""Excellent complete submission with a genuinely testable auth module and robust snake implementation; only minor React anti-patterns and fake-user mutation issues remain.""; GLM comment: ""Reference-quality submission with actual auth tests"""
